URL,RESPONSE,DESCRIPTION
http://www.example.com,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.org,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.net,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.int,,"HTTPConnectionPool(host='www.example.int', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291110E48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.edu,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.gov,,"HTTPConnectionPool(host='www.example.gov', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202911143C8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.mil,,"HTTPConnectionPool(host='www.example.mil', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7C18>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.arpa,,"HTTPConnectionPool(host='www.example.arpa', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7C88>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ac,,"HTTPConnectionPool(host='www.example.ac', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291114320>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ad,,"HTTPConnectionPool(host='www.example.ad', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291103128>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ae,,"HTTPConnectionPool(host='www.example.ae', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F78D0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.af,,"HTTPConnectionPool(host='www.example.af', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7CC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ag,,"HTTPConnectionPool(host='www.example.ag', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202911145F8>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed',))"
http://www.example.ai,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.al,,"HTTPConnectionPool(host='www.example.al', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7208>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed',))"
http://www.example.am,,"HTTPConnectionPool(host='www.example.am', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002028D593358>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed',))"
http://www.example.an,,"HTTPConnectionPool(host='www.example.an', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7278>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ao,,"HTTPConnectionPool(host='www.example.ao', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291114278>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.aq,,"HTTPConnectionPool(host='www.example.aq', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7A20>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ar,,"HTTPConnectionPool(host='www.example.ar', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291114278>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.as,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.at,,"HTTPSConnectionPool(host='www.example.at', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(""bad handshake: Error([('SSL routines', 'ssl3_get_server_certificate', 'certificate verify failed')],)"",),))"
http://www.example.au,,"HTTPConnectionPool(host='www.example.au', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7780>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.aw,,"HTTPConnectionPool(host='www.example.aw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002028D593438>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ax,,"HTTPConnectionPool(host='www.example.ax', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7CC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.az,,"HTTPConnectionPool(host='www.example.az', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291103198>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ba,,"HTTPConnectionPool(host='www.example.ba', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7CC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bb,,"HTTPConnectionPool(host='www.example.bb', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7E80>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bd,,"HTTPConnectionPool(host='www.example.bd', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7CC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.be,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.bf,,"HTTPConnectionPool(host='www.example.bf', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291103F60>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bg,,"HTTPConnectionPool(host='www.example.bg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7518>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bh,,"HTTPConnectionPool(host='www.example.bh', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F75F8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bi,,"HTTPConnectionPool(host='www.example.bi', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7518>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bj,,"HTTPConnectionPool(host='www.example.bj', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7208>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bl,,"HTTPConnectionPool(host='www.example.bl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7588>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bm,,"HTTPConnectionPool(host='www.example.bm', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7860>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bn,,"HTTPConnectionPool(host='www.example.bn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F76D8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bo,,"HTTPConnectionPool(host='www.example.bo', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F75F8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bq,,"HTTPConnectionPool(host='www.example.bq', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7278>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.br,,"HTTPConnectionPool(host='www.example.br', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7B38>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bs,,"HTTPConnectionPool(host='www.example.bs', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F75F8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bt,,"HTTPConnectionPool(host='www.example.bt', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7278>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bv,,"HTTPConnectionPool(host='www.example.bv', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291110940>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bw,,"HTTPConnectionPool(host='www.example.bw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291110668>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.by,503,"HTTPConnectionPool(host='www.example.bw', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291110668>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.bz,,"HTTPConnectionPool(host='www.example.bz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291103BA8>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ca,,"HTTPConnectionPool(host='www.example.ca', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F7CC0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cc,,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response',))"
http://www.example.cd,,"HTTPConnectionPool(host='www.example.cd', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002028D593630>: Failed to establish a new connection: [Errno 11002] getaddrinfo failed',))"
http://www.example.cf,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.cg,,"HTTPConnectionPool(host='www.example.cg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202910F9E48>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ch,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
http://www.example.ci,,"HTTPConnectionPool(host='www.example.ci', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000002028B964D30>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.ck,,"HTTPConnectionPool(host='www.example.ck', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x0000020291110080>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cl,,"HTTPConnectionPool(host='www.example.cl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000202911107F0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))"
http://www.example.cm,200,Example Domain This domain is established to be used for illustrative examples in documents. You may use this domain in examples without prior coordination or asking for permission.More information...
